epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15384.3,1.10346,0.62565,1.06618,0.77238,0.6846,0.73901,0.32422,1.87983,1.03819,1.21061,0.000614,0.000614,0.000614
44,15521.4,1.12855,0.63975,1.06178,0.80921,0.65789,0.73527,0.31661,2.0662,1.06288,1.22579,0.000581,0.000581,0.000581
45,15655.4,1.11966,0.6307,1.03127,0.83889,0.7193,0.77348,0.3653,1.79051,1.02173,1.14089,0.000548,0.000548,0.000548
46,15788.3,1.09616,0.61314,1.02269,0.81477,0.65594,0.73845,0.32203,1.98861,1.01641,1.21442,0.000515,0.000515,0.000515
47,15928,1.10276,0.63879,1.0604,0.76623,0.69298,0.74143,0.34786,1.85295,0.97989,1.19895,0.000482,0.000482,0.000482
48,16075.8,1.07113,0.61412,1.02382,0.86922,0.64135,0.74104,0.35767,1.80905,1.0183,1.17157,0.000449,0.000449,0.000449
49,16222.3,1.08863,0.60845,1.02853,0.85804,0.68929,0.76093,0.34882,1.83982,1.0736,1.15544,0.000416,0.000416,0.000416
50,16357.9,1.06866,0.61107,1.01434,0.86869,0.64912,0.75785,0.33213,1.92786,1.09394,1.17878,0.000383,0.000383,0.000383
51,16498.6,1.09135,0.61746,1.05648,0.87114,0.65789,0.75104,0.33799,1.91059,1.035,1.2057,0.00035,0.00035,0.00035
52,16646.3,1.05265,0.59055,1.00302,0.82451,0.66667,0.74053,0.32361,1.98988,1.07071,1.23572,0.000317,0.000317,0.000317
53,16783,1.02728,0.56432,1.01724,0.89252,0.64035,0.74968,0.33661,1.90375,1.06201,1.21114,0.000284,0.000284,0.000284
54,16922,0.98747,0.54705,1.00195,0.87457,0.61404,0.72221,0.31106,2.00427,1.07095,1.22957,0.000251,0.000251,0.000251
55,17058.7,0.98808,0.56427,1.01009,0.87276,0.62281,0.7208,0.3311,1.94628,1.05304,1.21806,0.000218,0.000218,0.000218
56,17196.6,0.98062,0.5411,1.01354,0.92455,0.64495,0.78262,0.36272,1.81689,0.99481,1.18327,0.000185,0.000185,0.000185
57,17333.4,0.96232,0.53508,1.00388,0.91958,0.64035,0.76722,0.36045,1.84956,1.00668,1.18532,0.000152,0.000152,0.000152
58,17467.2,0.97469,0.52344,0.97523,0.75573,0.71053,0.75187,0.34999,1.91864,1.03246,1.20583,0.000119,0.000119,0.000119
59,17613.5,0.95022,0.51061,0.9811,0.85249,0.65905,0.77691,0.35282,1.89397,1.01468,1.19275,8.6e-05,8.6e-05,8.6e-05
60,17754.8,0.93628,0.50963,0.9797,0.79702,0.70175,0.78461,0.36317,1.87652,1.00717,1.19397,5.3e-05,5.3e-05,5.3e-05
